mode,scene_name,sources,class_names,full_img_path,full_mask_path
multi,ADE_train_00000237,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",concrete_mixer;safety_cone;glazing_panel,,
multi,ADE_train_00000239,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",vav_box;variable_air_volume_unit;pibc_valve,,
multi,ADE_train_00000240,"phase_1_shifu_out0,phase_1_shifu_out1,phase_1_shifu_out3",fire_sprinkler;tool_cart;utility_meter,,
multi,ADE_train_00000244,"phase_2_pdin_out0,phase_2_pdin_out1",sprinkler_head;ceiling_sprinkler,,
multi,ADE_train_00000246,"phase_1_shifu_out0,phase_1_shifu_out1",utility_meter;electrical_conduit,,
multi,ADE_train_00000247,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",fan_coil_unit;FCU;balancing_valve,,
multi,ADE_train_00000249,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",pressure_independent_control_valve;flow_control_valve;exhaust_fan,,
multi,ADE_train_00000250,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",ventilation_fan;inline_fan;hvac_control_panel,,
multi,ADE_train_00000252,phase_2_pdin_out0,mechanical_control_panel,,
multi,ADE_train_00000255,phase_2_pdin_out0,acoustic_silencer,,
multi,ADE_train_00000256,"phase_2_pdin_out0,phase_2_pdin_out1",duct_silencer;water_pipe,,
multi,ADE_train_00000258,"phase_2_pdin_out0,phase_2_pdin_out1",hvac_pipe;pipe_hanger,,
multi,ADE_train_00000260,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",pipe_clamp;pipe_bracket;shutoff_valve,,
multi,ADE_train_00000261,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",ball_valve;gate_valve;piping_manifold,,
multi,ADE_train_00000263,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",air_duct;fresh_air_duct;supply_duct,,
multi,ADE_train_00000264,"phase_2_pdin_out0,phase_2_pdin_out1",heating_radiator;convector,,
multi,ADE_train_00000265,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",workbench;glazing_panel;rebar_mesh,,
multi,ADE_train_00000270,"phase_2_pdin_out0,phase_2_pdin_out1",Y_strainer;co_sensor,,
multi,ADE_train_00000271,"phase_2_pdin_out0,phase_2_pdin_out1",CO_detector;carbon_monoxide_sensor,,
multi,ADE_train_00000272,"phase_2_pdin_out0,phase_2_pdin_out1",gas_sensor;environmental_sensor,,
multi,ADE_train_00000274,phase_2_pdin_out0,temperature_sensor,,
multi,ADE_train_00000276,phase_2_pdin_out0,humidity_sensor,,
multi,ADE_train_00000279,"phase_2_pdin_out0,phase_2_pdin_out1",IAQ_sensor;water_meter,,
multi,ADE_train_00000281,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",workbench;utility_meter;temporary_support_prop,,
multi,ADE_train_00000283,phase_2_pdin_out0,electricity_meter,,
multi,ADE_train_00000286,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",cable_tray;utility_meter;balcony_railing,,
multi,ADE_train_00000287,"phase_2_pdin_out0,phase_2_pdin_out1",window_glass;glass_panel,,
multi,ADE_train_00000288,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",return_duct;ceiling_diffuser;flex_duct,,
multi,ADE_train_00000290,"phase_2_pdin_out0,phase_2_pdin_out1",distribution_panel;DB_board,,
multi,ADE_train_00000292,phase_2_pdin_out0,switchgear_panel,,
multi,ADE_train_00000293,"phase_2_pdin_out0,phase_2_pdin_out1",control_board;cable_conduit,,
multi,ADE_train_00000295,phase_2_pdin_out0,EMT_conduit,,
multi,ADE_train_00000296,"phase_2_pdin_out0,phase_2_pdin_out1",fire_hose_reel;hose_reel,,
multi,ADE_train_00000297,"phase_2_pdin_out0,phase_2_pdin_out1",fire_extinguisher;extinguisher_cylinder,,
multi,ADE_train_00000298,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",fire_damper;smoke_damper;hvac_damper,,
multi,ADE_train_00000302,"phase_2_pdin_out0,phase_2_pdin_out1",pibc_valve;balancing_valve,,
multi,ADE_train_00000303,phase_2_pdin_out0,pressure_independent_control_valve,,
multi,ADE_train_00000305,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",mechanical_pump;concrete_beam;utility_meter,,
multi,ADE_train_00000306,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",balustrade;electrical_conduit;concrete_mixer,,
multi,ADE_train_00000312,"phase_2_pdin_out0,phase_2_pdin_out1",exhaust_fan;ventilation_fan,,
multi,ADE_train_00000313,phase_2_pdin_out0,inline_fan,,
multi,ADE_train_00000314,phase_2_pdin_out0,hvac_control_panel,,
multi,ADE_train_00000315,phase_2_pdin_out0,mechanical_control_panel,,
multi,ADE_train_00000316,phase_2_pdin_out0,I_beam,,
multi,ADE_train_00000318,"phase_1_shifu_out0,phase_1_shifu_out1,phase_1_shifu_out3",mobile_tower;pipe_support;construction_vehicle,,
multi,ADE_train_00000319,phase_2_pdin_out0,return_grille,,
multi,ADE_train_00000320,"phase_2_pdin_out0,phase_2_pdin_out1",supply_grille;acoustic_silencer,,
multi,ADE_train_00000322,"phase_2_pdin_out0,phase_2_pdin_out1",water_pipe;plastic_pipe,,
multi,ADE_train_00000323,"phase_2_pdin_out0,phase_2_pdin_out1",H_beam;girder,,
multi,ADE_train_00000324,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",metal_pipe;hvac_pipe;pipe_hanger,,
multi,ADE_train_00000325,"phase_2_pdin_out0,phase_2_pdin_out1",pipe_clamp;pipe_bracket,,
multi,ADE_train_00000329,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",piping_manifold;pipe_manifold;heating_radiator,,
multi,ADE_train_00000330,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",convector;filter_strainer;water_filter,,
multi,ADE_train_00000331,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",electrical_panel;drill_machine;tool_cart,,
multi,ADE_train_00000334,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",Y_strainer;co_sensor;CO_detector,,
multi,ADE_train_00000335,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",construction_vehicle;measuring_tripod;air_grille,,
multi,ADE_train_00000336,"phase_2_pdin_out0,phase_2_pdin_out1",carbon_monoxide_sensor;gas_sensor,,
multi,ADE_train_00000338,"phase_1_shifu_out0,phase_1_shifu_out1,phase_1_shifu_out3",glazing_panel;concrete_column;fuel_can,,
multi,ADE_train_00000340,phase_2_pdin_out0,environmental_sensor,,
multi,ADE_train_00000342,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",ladder;construction_vehicle;air_diffuser,,
multi,ADE_train_00000343,"phase_2_pdin_out0,phase_2_pdin_out1",electrical_raceway;sprinkler_head,,
multi,ADE_train_00000344,"phase_2_pdin_out0,phase_2_pdin_out1",temperature_sensor;humidity_sensor,,
multi,ADE_train_00000345,phase_2_pdin_out0,IAQ_sensor,,
multi,ADE_train_00000347,"phase_2_pdin_out0,phase_2_pdin_out1",water_meter;electricity_meter,,
multi,ADE_train_00000349,phase_2_pdin_out0,BTU_meter,,
multi,ADE_train_00000351,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",ladder;safety_cone;satellite_dish,,
multi,ADE_train_00000352,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",flow_meter;window_glass;glass_panel,,
multi,ADE_train_00000353,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",ceiling_sprinkler;fan_coil_unit;FCU,,
multi,ADE_train_00000354,"phase_2_pdin_out0,phase_2_pdin_out1",distribution_panel;DB_board,,
multi,ADE_train_00000355,phase_2_pdin_out0,switchgear_panel,,
multi,ADE_train_00000357,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",control_board;cable_conduit;PVC_conduit,,
multi,ADE_train_00000358,phase_2_pdin_out0,EMT_conduit,,
multi,ADE_train_00000359,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",fire_hose_reel;hose_reel;fire_extinguisher,,
multi,ADE_train_00000360,"phase_2_pdin_out0,phase_2_pdin_out1",extinguisher_cylinder;fire_damper,,
multi,ADE_train_00000361,phase_2_pdin_out0,smoke_damper,,
multi,ADE_train_00000362,phase_2_pdin_out0,hvac_damper,,
multi,ADE_train_00000363,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",measuring_tripod;pipe_general;hose_pipe,,
multi,ADE_train_00000365,"phase_2_pdin_out0,phase_2_pdin_out1",vav_box;variable_air_volume_unit,,
multi,ADE_train_00000366,phase_2_pdin_out0,pibc_valve,,
multi,ADE_train_00000369,"phase_2_pdin_out0,phase_2_pdin_out1",ventilation_fan;inline_fan,,
multi,ADE_train_00000372,"phase_2_pdin_out0,phase_2_pdin_out1",hvac_control_panel;mechanical_control_panel,,
multi,ADE_train_00000373,phase_2_pdin_out0,air_duct,,
multi,ADE_train_00000375,phase_2_pdin_out0,return_grille,,
multi,ADE_train_00000376,"phase_2_pdin_out0,phase_2_pdin_out1",supply_grille;acoustic_silencer,,
multi,ADE_train_00000380,phase_2_pdin_out0,plastic_pipe,,
multi,ADE_train_00000381,phase_2_pdin_out0,fresh_air_duct,,
multi,ADE_train_00000382,"phase_1_shifu_out0,phase_1_shifu_out1,phase_1_shifu_out3",hvac_duct;satellite_dish;compressor_unit,,
multi,ADE_train_00000383,phase_2_pdin_out0,metal_pipe,,
multi,ADE_train_00000387,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",satellite_dish;rebars_single;construction_vehicle,,
multi,ADE_train_00000388,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",utility_meter;pipe_general;paint_bucket,,
multi,ADE_train_00000389,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",hvac_pipe;pipe_hanger;pipe_clamp,,
multi,ADE_train_00000390,phase_2_pdin_out0,pipe_bracket,,
multi,ADE_train_00000391,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",mobile_tower;construction_vehicle;mechanical_valve,,
multi,ADE_train_00000392,phase_2_pdin_out0,shutoff_valve,,
multi,ADE_train_00000394,"phase_2_pdin_out0,phase_2_pdin_out1",supply_duct;return_duct,,
multi,ADE_train_00000395,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",bracing;satellite_dish;utility_meter,,
multi,ADE_train_00000397,"phase_1_poco_out0,phase_1_poco_out2",cable_tray;balustrade,,
multi,ADE_train_00000399,phase_2_pdin_out0,ceiling_diffuser,,
multi,ADE_train_00000404,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",piping_manifold;pipe_manifold;heating_radiator,,
multi,ADE_train_00000405,"phase_2_pdin_out0,phase_2_pdin_out1",convector;filter_strainer,,
multi,ADE_train_00000410,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",tool_cart;air_grille;hose_pipe,,
multi,ADE_train_00000411,"phase_2_pdin_out0,phase_2_pdin_out1",CO_detector;carbon_monoxide_sensor,,
multi,ADE_train_00000412,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",gas_sensor;environmental_sensor;temperature_sensor,,
multi,ADE_train_00000413,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",humidity_sensor;IAQ_sensor;water_meter,,
multi,ADE_train_00000414,"phase_2_pdin_out0,phase_2_pdin_out1",electricity_meter;BTU_meter,,
multi,ADE_train_00000415,phase_2_pdin_out0,flow_meter,,
multi,ADE_train_00000416,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",window_glass;glass_panel;distribution_panel,,
multi,ADE_train_00000417,phase_2_pdin_out0,DB_board,,
multi,ADE_train_00000418,"phase_2_pdin_out0,phase_2_pdin_out1",flex_duct;I_beam,,
multi,ADE_train_00000419,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",safety_cone;cable_tray;construction_vehicle,,
multi,ADE_train_00000420,"phase_2_pdin_out0,phase_2_pdin_out1",switchgear_panel;control_board,,
multi,ADE_train_00000421,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",cable_conduit;PVC_conduit;EMT_conduit,,
multi,ADE_train_00000423,"phase_2_pdin_out0,phase_2_pdin_out1",fire_extinguisher;extinguisher_cylinder,,
multi,ADE_train_00000424,"phase_2_pdin_out0,phase_2_pdin_out1",fire_damper;smoke_damper,,
multi,ADE_train_00000427,phase_2_pdin_out0,hvac_damper,,
multi,ADE_train_00000428,phase_2_pdin_out0,vav_box,,
multi,ADE_train_00000431,phase_2_pdin_out0,pibc_valve,,
multi,ADE_train_00000432,"phase_2_pdin_out0,phase_2_pdin_out1",H_beam;girder,,
multi,ADE_train_00000433,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",tool_cart;paint_bucket;utility_meter,,
multi,ADE_train_00000435,phase_2_pdin_out0,wire_tray,,
multi,ADE_train_00000436,phase_2_pdin_out0,balancing_valve,,
multi,ADE_train_00000438,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",measuring_tripod;junction_box;server_rack,,
multi,ADE_train_00000441,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",safety_helmet;air_grille;radiator,,
multi,ADE_train_00000442,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",pressure_independent_control_valve;flow_control_valve;exhaust_fan,,
multi,ADE_train_00000443,phase_2_pdin_out0,ventilation_fan,,
multi,ADE_train_00000444,phase_2_pdin_out0,inline_fan,,
multi,ADE_train_00000445,"phase_1_poco_out0,phase_1_poco_out2",utility_meter;mobile_tower,,
multi,ADE_train_00000446,phase_2_pdin_out0,hvac_control_panel,,
multi,ADE_train_00000448,phase_2_pdin_out0,mechanical_control_panel,,
multi,ADE_train_00000449,phase_2_pdin_out0,return_grille,,
multi,ADE_train_00000450,phase_2_pdin_out0,supply_grille,,
multi,ADE_train_00000456,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",scaffolding;mobile_tower;fire_sprinkler,,
multi,ADE_train_00000457,phase_2_pdin_out0,acoustic_silencer,,
multi,ADE_train_00000461,"phase_2_pdin_out0,phase_2_pdin_out1",ladder_tray;electrical_raceway,,
multi,ADE_train_00000462,phase_2_pdin_out0,duct_silencer,,
multi,ADE_train_00000464,phase_2_pdin_out0,hvac_pipe,,
multi,ADE_train_00000465,"phase_2_pdin_out0,phase_2_pdin_out1",pipe_hanger;pipe_clamp,,
multi,ADE_train_00000468,"phase_2_pdin_out0,phase_2_pdin_out1",gate_valve;piping_manifold,,
multi,ADE_train_00000470,phase_2_pdin_out0,pipe_manifold,,
multi,ADE_train_00000471,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",heating_radiator;convector;filter_strainer,,
multi,ADE_train_00000473,phase_2_pdin_out0,water_filter,,
multi,ADE_train_00000475,phase_2_pdin_out0,co_sensor,,
multi,ADE_train_00000477,"phase_2_pdin_out0,phase_2_pdin_out1",CO_detector;carbon_monoxide_sensor,,
multi,ADE_train_00000480,"phase_2_pdin_out0,phase_2_pdin_out1",gas_sensor;environmental_sensor,,
multi,ADE_train_00000481,phase_2_pdin_out0,temperature_sensor,,
multi,ADE_train_00000482,phase_2_pdin_out0,humidity_sensor,,
multi,ADE_train_00000483,phase_2_pdin_out0,IAQ_sensor,,
multi,ADE_train_00000484,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",water_meter;electricity_meter;BTU_meter,,
multi,ADE_train_00000485,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",hvac_duct;concrete_column;radiator,,
multi,ADE_train_00000486,"phase_2_pdin_out0,phase_2_pdin_out1",flow_meter;window_glass,,
multi,ADE_train_00000488,"phase_2_pdin_out0,phase_2_pdin_out1",glass_panel;distribution_panel,,
multi,ADE_train_00000491,"phase_2_pdin_out0,phase_2_pdin_out1",DB_board;switchgear_panel,,
multi,ADE_train_00000492,"phase_2_pdin_out0,phase_2_pdin_out1",control_board;cable_conduit,,
multi,ADE_train_00000495,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",construction_vehicle;concrete_column;utility_meter,,
multi,ADE_train_00000498,"phase_2_pdin_out0,phase_2_pdin_out1",PVC_conduit;EMT_conduit,,
multi,ADE_train_00000499,phase_2_pdin_out0,fire_hose_reel,,
multi,ADE_train_00000501,phase_2_pdin_out0,hose_reel,,
multi,ADE_train_00000502,phase_2_pdin_out0,fire_extinguisher,,
multi,ADE_train_00000503,"phase_2_pdin_out0,phase_2_pdin_out1",extinguisher_cylinder;fire_damper,,
multi,ADE_train_00000504,"phase_2_pdin_out0,phase_2_pdin_out1",smoke_damper;hvac_damper,,
multi,ADE_train_00000507,phase_2_pdin_out0,vav_box,,
multi,ADE_train_00000508,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",balustrade;hose_pipe;hvac_duct,,
multi,ADE_train_00000511,phase_2_pdin_out0,pibc_valve,,
multi,ADE_train_00000515,"phase_1_pdin_out0,phase_1_pdin_out1",hvac_duct;utility_meter,,
multi,ADE_train_00000518,"phase_2_pdin_out0,phase_2_pdin_out1",ventilation_fan;inline_fan,,
multi,ADE_train_00000521,"phase_2_pdin_out0,phase_2_pdin_out1",sprinkler_head;ceiling_sprinkler,,
multi,ADE_train_00000523,phase_2_pdin_out0,supply_grille,,
multi,ADE_train_00000524,phase_2_pdin_out0,acoustic_silencer,,
multi,ADE_train_00000525,"phase_2_pdin_out0,phase_2_pdin_out1",duct_silencer;water_pipe,,
multi,ADE_train_00000526,phase_2_pdin_out0,plastic_pipe,,
multi,ADE_train_00000529,phase_2_pdin_out0,pipe_hanger,,
multi,ADE_train_00000531,phase_2_pdin_out0,fan_coil_unit,,
multi,ADE_train_00000534,phase_2_pdin_out0,pipe_clamp,,
multi,ADE_train_00000535,"phase_2_pdin_out0,phase_2_pdin_out1",pipe_bracket;shutoff_valve,,
multi,ADE_train_00000538,"phase_2_pdin_out0,phase_2_pdin_out1",piping_manifold;pipe_manifold,,
multi,ADE_train_00000539,phase_2_pdin_out0,heating_radiator,,
multi,ADE_train_00000540,"phase_2_pdin_out0,phase_2_pdin_out1",convector;filter_strainer,,
multi,ADE_train_00000541,phase_2_pdin_out0,water_filter,,
multi,ADE_train_00000542,phase_2_pdin_out0,dirt_separator,,
multi,ADE_train_00000546,"phase_2_pdin_out0,phase_2_pdin_out1",Y_strainer;co_sensor,,
multi,ADE_train_00000547,"phase_1_shifu_out0,phase_1_shifu_out1",utility_meter;concrete_mixer,,
multi,ADE_train_00000548,phase_2_pdin_out0,CO_detector,,
multi,ADE_train_00000549,"phase_2_pdin_out0,phase_2_pdin_out1",carbon_monoxide_sensor;gas_sensor,,
multi,ADE_train_00000550,"phase_2_pdin_out0,phase_2_pdin_out1",environmental_sensor;temperature_sensor,,
multi,ADE_train_00000551,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",site_container;satellite_dish;generator_portable,,
multi,ADE_train_00000552,"phase_2_pdin_out0,phase_2_pdin_out1",FCU;air_duct,,
multi,ADE_train_00000566,"phase_2_poco_out0,phase_2_poco_out1",hvac_pipe;pipe_hanger,,
multi,ADE_train_00000571,"phase_2_poco_out0,phase_2_poco_out1",backup_battery;inverter,,
multi,ADE_train_00000594,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",server_rack;mechanical_valve;cable_tray,,
multi,ADE_train_00000595,"phase_2_poco_out0,phase_2_poco_out1",electrical_raceway;sprinkler_head,,
multi,ADE_train_00000596,phase_2_poco_out0,ceiling_sprinkler,,
multi,ADE_train_00000598,"phase_2_poco_out0,phase_2_poco_out1",fan_coil_unit;FCU,,
multi,ADE_train_00000599,"phase_2_poco_out0,phase_2_poco_out1",air_duct;fresh_air_duct,,
multi,ADE_train_00000604,"phase_2_poco_out0,phase_2_poco_out1",supply_duct;return_duct,,
multi,ADE_train_00000605,"phase_2_poco_out0,phase_2_poco_out1",ceiling_diffuser;flex_duct,,
multi,ADE_train_00000607,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",air_grille;workbench;hvac_duct,,
multi,ADE_train_00000611,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",rebars_single;site_container;utility_meter,,
multi,ADE_train_00000612,"phase_2_poco_out0,phase_2_poco_out1",I_beam;H_beam,,
multi,ADE_train_00000616,"phase_2_poco_out0,phase_2_poco_out1",girder;wire_tray,,
multi,ADE_train_00000617,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",mechanical_valve;glazing_panel;compressor_unit,,
multi,ADE_train_00000618,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",hose_pipe;utility_meter;heat_exchanger,,
multi,ADE_train_00000619,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",hoist;balustrade;tool_cart,,
multi,ADE_train_00000620,"phase_2_poco_out0,phase_2_poco_out1",ladder_tray;electrical_raceway,,
multi,ADE_train_00000623,phase_2_poco_out0,ceiling_sprinkler,,
multi,ADE_train_00000625,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",ladder;ups_unit;air_diffuser,,
multi,ADE_train_00000626,"phase_2_poco_out0,phase_2_poco_out1",fan_coil_unit;FCU,,
multi,ADE_train_00000627,phase_2_poco_out0,air_duct,,
multi,ADE_train_00000629,"phase_2_poco_out0,phase_2_poco_out1",fresh_air_duct;supply_duct,,
multi,ADE_train_00000630,phase_2_poco_out0,return_duct,,
multi,ADE_train_00000634,"phase_2_poco_out0,phase_2_poco_out1",ceiling_diffuser;flex_duct,,
multi,ADE_train_00000638,"phase_2_poco_out0,phase_2_poco_out1",I_beam;H_beam,,
multi,ADE_train_00000639,"phase_2_poco_out0,phase_2_poco_out1",girder;wire_tray,,
multi,ADE_train_00000642,phase_2_poco_out0,sprinkler_head,,
multi,ADE_train_00000643,"phase_2_poco_out0,phase_2_poco_out1",ceiling_sprinkler;fan_coil_unit,,
multi,ADE_train_00000644,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",compressor_unit;safety_cone;server_rack,,
multi,ADE_train_00000645,phase_2_poco_out0,FCU,,
multi,ADE_train_00000663,phase_2_pdin_out0,cable_conduit,,
multi,ADE_train_00000672,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",rebars_single;drill_machine;satellite_dish,,
multi,ADE_train_00000674,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",utility_meter;paint_bucket;mechanical_pump,,
multi,ADE_train_00000687,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",flexible_duct;compressor_unit;concrete_mixer,,
multi,ADE_train_00000703,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",electrical_panel;portable_light;hvac_duct,,
multi,ADE_train_00000710,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",concrete_column;utility_meter;construction_vehicle,,
multi,ADE_train_00000723,"phase_1_shifu_out0,phase_1_shifu_out1,phase_1_shifu_out3",electrical_panel;rebar_mesh;safety_helmet,,
multi,ADE_train_00000724,"phase_2_pdin_out0,phase_2_pdin_out1",EMT_conduit;wire_tray,,
multi,ADE_train_00000729,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",paint_bucket;junction_box;workbench,,
multi,ADE_train_00000747,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",pipe_general;toolbox;mechanical_pump,,
multi,ADE_train_00000773,phase_2_pdin_out0,ladder_tray,,
multi,ADE_train_00000774,"phase_1_shifu_out0,phase_1_shifu_out1,phase_1_shifu_out3",temporary_support_prop;rebar_mesh;radiator,,
